Issue Date          2013-03-16T00:00:00Z
Flags:  0=Forecast, 1=Estimated, 2=Observed 

 Date_Time                   F10          Kp     F10Flag      KpFlag  F10_81dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz   
2013-03-16T00:52:00Z 123.0333333   2.8144444           2           1 111.4773114   1.6647222  13.6187500           4  13.6187500           4   3.6139717 159.7014136 450.8494000  -3.3895350
2013-03-16T00:53:00Z 123.0354167   2.8272222           2           1 111.4774211   1.6650000  12.4750000           4  12.4750000           4   3.5588106 170.8248069 437.4561000  -3.5132770
2013-03-16T00:54:00Z 123.0375000   2.8400000           2           1 111.4775309   1.6652778  11.3312500           4  11.3312500           4   3.4636301 172.7861084 416.3717000  -3.4362130
2013-03-16T00:55:00Z 123.0395833   2.8527778           2           1 111.4776406   1.6655556  10.1875000           4  10.1875000           4   3.2206383 173.6350417 426.4776000  -3.2007860
2013-03-16T00:56:00Z 123.0416667   2.8655556           2           1 111.4777503   1.6658333   9.0437500           4   9.0437500           4   3.0350778 164.1956019 443.5340000  -2.9203430
2013-03-16T00:57:00Z 123.0437500   2.8783333           2           1 111.4778601   1.6661111  26.2000000           7  26.2000000           7   3.2281376 165.8723171 449.3434000  -3.1305000
2013-03-16T00:58:00Z 123.0458333   2.8911111           2           1 111.4779698   1.6663889  15.4500000           5  15.4500000           5   3.7726029 168.5970123 465.5204000  -3.6981350
2013-03-16T00:59:00Z 123.0479167   2.9038889           2           1 111.4780796   1.6666667  17.6000000           5  17.6000000           5   4.0787591 175.6556579 447.5202000  -4.0670400
2013-03-16T01:00:00Z 123.0500000   2.9166667           2           1 111.4781893   1.6669444  19.7500000           6  19.7500000           6   4.4541925 182.3429289 442.3567000  -4.4504690
2013-03-16T01:01:00Z 123.0520833   2.9294444           2           1 111.4782990   1.6672222  21.9000000           6  21.9000000           6   4.2807836 176.1701888 431.8881000  -4.2712240
2013-03-16T01:02:00Z 123.0541667   2.9422222           2           1 111.4784088   1.6675000  24.0500000           6  24.0500000           6   3.8840402 170.7076464 440.9969000  -3.8330710
2013-03-16T01:03:00Z 123.0562500   2.9550000           2           1 111.4785185   1.6677778  13.3000000           5  13.3000000           5   3.5554841 146.9656078 457.6915000  -2.9807170
2013-03-16T01:04:00Z 123.0583333   2.9677778           2           1 111.4786283   1.6680556  15.0272727           5  15.0272727           5   3.7748601 179.9552853 464.4977000  -3.7748590
2013-03-16T01:05:00Z 123.0604167   2.9805556           2           1 111.4787380   1.6683333  14.8545455           5  14.8545455           5   3.7014886 167.5899592 443.4586000  -3.6150020
2013-03-16T01:06:00Z 123.0625000   2.9933333           2           1 111.4788477   1.6686111  14.6818182           5  14.6818182           5   3.6489374 162.6646917 435.8996000  -3.4831930
2013-03-16T01:07:00Z 123.0645833   3.0061111           2           1 111.4789575   1.6688889  14.5090909           5  14.5090909           5   3.3853768 157.1443294 429.9833000  -3.1195780
2013-03-16T01:08:00Z 123.0666667   3.0188889           2           1 111.4790672   1.6691667  14.3363636           5  14.3363636           5   3.4104486 163.7628103 438.6495000  -3.2744140
2013-03-16T01:09:00Z 123.0687500   3.0316667           2           1 111.4791770   1.6694444  14.1636364           5  14.1636364           5   3.9327558 133.8689910 447.8012000  -2.7254460
2013-03-16T01:10:00Z 123.0708333   3.0444444           2           1 111.4792867   1.6697222  13.9909091           5  13.9909091           5   1.7049257 132.5779427 408.4482000  -1.1535400
2013-03-16T01:11:00Z 123.0729167   3.0572222           2           1 111.4793964   1.6700000  13.8181818           5  13.8181818           5   3.2331076 165.8813496 429.2118000  -3.1354440
2013-03-16T01:12:00Z 123.0750000   3.0700000           2           1 111.4795062   1.6702778  13.6454545           5  13.6454545           5   2.9574673 155.1614050 437.6212000  -2.6838860
2013-03-16T01:13:00Z 123.0770833   3.0827778           2           1 111.4796159   1.6705556  13.4727273           5  13.4727273           5   2.6411418 138.1433396 443.2456000  -1.9671660
2013-03-16T01:14:00Z 123.0791667   3.0955556           2           1 111.4797257   1.6708333  15.2000000           5  15.2000000           5   2.9527061 133.0610099 417.8656000  -2.0160390
2013-03-16T01:15:00Z 123.0812500   3.1083333           2           1 111.4798354   1.6711111  15.5692308           5  15.5692308           5   3.3688490 136.1465521 432.0804000  -2.4293250
2013-03-16T01:16:00Z 123.0833333   3.1211111           2           1 111.4799451   1.6713889  15.5384615           5  15.5384615           5   2.9259062 130.9860119 424.9965000  -1.9190280
2013-03-16T01:17:00Z 123.0854167   3.1338889           2           1 111.4800549   1.6716667  15.5076923           5  15.5076923           5   2.8896795 136.3803781 429.7003000  -2.0919420
2013-03-16T01:18:00Z 123.0875000   3.1466667           2           1 111.4801646   1.6719445  15.4769231           5  15.4769231           5   2.5996524 145.7733058 431.7069000  -2.1494410
2013-03-16T01:19:00Z 123.0895833   3.1594444           2           1 111.4802743   1.6722222  15.4461538           5  15.4461538           5   2.2942875 165.7677270 437.0234000  -2.2238690
